project,year,fellow,region,match,corrected
"
              To study the operational training and education of law enforcement personnel in the area of human source management - USA, Canada, UK, Ireland
",2009,"DODD, Stephen",USA,yes,USA
"
              To study the operational training and education of law enforcement personnel in the area of human source management - USA, Canada, UK, Ireland
",2009,"DODD, Stephen",Canada,yes,Canada
"
              To study the operational training and education of law enforcement personnel in the area of human source management - USA, Canada, UK, Ireland
",2009,"DODD, Stephen",UK,yes,UK
"
              To study the operational training and education of law enforcement personnel in the area of human source management - USA, Canada, UK, Ireland
",2009,"DODD, Stephen",Ireland,yes,Ireland
"
              To study the impact of climate change on rare plants with emphasis on identifying and protecting climate refugia - USA, South Africa, UK, Spain, Italy
",2009,"DONATIU, Paul",USA,yes,USA
"
              To study the impact of climate change on rare plants with emphasis on identifying and protecting climate refugia - USA, South Africa, UK, Spain, Italy
",2009,"DONATIU, Paul",South Africa,yes,South Africa
"
              To study the impact of climate change on rare plants with emphasis on identifying and protecting climate refugia - USA, South Africa, UK, Spain, Italy
",2009,"DONATIU, Paul",UK,yes,UK
"
              To study the impact of climate change on rare plants with emphasis on identifying and protecting climate refugia - USA, South Africa, UK, Spain, Italy
",2009,"DONATIU, Paul",Spain,yes,Spain
"
              To study the impact of climate change on rare plants with emphasis on identifying and protecting climate refugia - USA, South Africa, UK, Spain, Italy
",2009,"DONATIU, Paul",Italy,yes,Italy
"
              To examine child sexual abuse intervention strategies in remote Indigenous communities - USA, Canada
",2009,"FAIRMAN, Gordon",USA,yes,USA
"
              To examine child sexual abuse intervention strategies in remote Indigenous communities - USA, Canada
",2009,"FAIRMAN, Gordon",Canada,yes,Canada
"
              To undertake a comparative study of international water policy and management arrangements to inform the next generation of water reform in Australia - USA, France, Belgium, Italy, Spain, Denmark, Jordan, Sri Lanka
",2009,"FARGHER, William",USA,yes,USA
"
              To undertake a comparative study of international water policy and management arrangements to inform the next generation of water reform in Australia - USA, France, Belgium, Italy, Spain, Denmark, Jordan, Sri Lanka
",2009,"FARGHER, William",France,yes,France
"
              To undertake a comparative study of international water policy and management arrangements to inform the next generation of water reform in Australia - USA, France, Belgium, Italy, Spain, Denmark, Jordan, Sri Lanka
",2009,"FARGHER, William",Belgium,yes,Belgium
"
              To undertake a comparative study of international water policy and management arrangements to inform the next generation of water reform in Australia - USA, France, Belgium, Italy, Spain, Denmark, Jordan, Sri Lanka
",2009,"FARGHER, William",Italy,yes,Italy
"
              To undertake a comparative study of international water policy and management arrangements to inform the next generation of water reform in Australia - USA, France, Belgium, Italy, Spain, Denmark, Jordan, Sri Lanka
",2009,"FARGHER, William",Spain,yes,Spain
"
              To undertake a comparative study of international water policy and management arrangements to inform the next generation of water reform in Australia - USA, France, Belgium, Italy, Spain, Denmark, Jordan, Sri Lanka
",2009,"FARGHER, William",Denmark,yes,Denmark
"
              To undertake a comparative study of international water policy and management arrangements to inform the next generation of water reform in Australia - USA, France, Belgium, Italy, Spain, Denmark, Jordan, Sri Lanka
",2009,"FARGHER, William",Jordan,yes,Jordan
"
              To undertake a comparative study of international water policy and management arrangements to inform the next generation of water reform in Australia - USA, France, Belgium, Italy, Spain, Denmark, Jordan, Sri Lanka
",2009,"FARGHER, William",Sri Lanka,yes,Sri Lanka
"
              To assess resilience programs for children who have specific learning disabilities - USA, Canada, UK
",2009,"FIRTH, Nola",USA,yes,USA
"
              To assess resilience programs for children who have specific learning disabilities - USA, Canada, UK
",2009,"FIRTH, Nola",Canada,yes,Canada
"
              To assess resilience programs for children who have specific learning disabilities - USA, Canada, UK
",2009,"FIRTH, Nola",UK,yes,UK
"
              To investigate the assessment and rehabilitation of complex adult cochlear implantees - Denmark, Germany, UK
",2009,"FLINT (NOW Cucchiarelli), Sheridan",Denmark,yes,Denmark
"
              To investigate the assessment and rehabilitation of complex adult cochlear implantees - Denmark, Germany, UK
",2009,"FLINT (NOW Cucchiarelli), Sheridan",Germany,yes,Germany
"
              To investigate the assessment and rehabilitation of complex adult cochlear implantees - Denmark, Germany, UK
",2009,"FLINT (NOW Cucchiarelli), Sheridan",UK,yes,UK
"
              To investigate city-based bicycle advocacy organisations - USA, Canada, UK
",2009,"GARDNER, Elaena",USA,yes,USA
"
              To investigate city-based bicycle advocacy organisations - USA, Canada, UK
",2009,"GARDNER, Elaena",Canada,yes,Canada
"
              To investigate city-based bicycle advocacy organisations - USA, Canada, UK
",2009,"GARDNER, Elaena",UK,yes,UK
"
              To explore referral processes and sustainability for support groups for women with late diagnosed/poor prognosis gynaecological cancers - Canada, USA, UK
",2009,"GOSS, Sally",Canada,yes,Canada
"
              To explore referral processes and sustainability for support groups for women with late diagnosed/poor prognosis gynaecological cancers - Canada, USA, UK
",2009,"GOSS, Sally",USA,yes,USA
"
              To explore referral processes and sustainability for support groups for women with late diagnosed/poor prognosis gynaecological cancers - Canada, USA, UK
",2009,"GOSS, Sally",UK,yes,UK
"
              To explore how AusAID can assist microfinance providers to transition from using donor subsidies to private funds - USA, Philippines, Cambodia, Bangladesh, Indonesia
",2009,"GREENACRE, Jonathan",USA,yes,USA
"
              To explore how AusAID can assist microfinance providers to transition from using donor subsidies to private funds - USA, Philippines, Cambodia, Bangladesh, Indonesia
",2009,"GREENACRE, Jonathan",Philippines,yes,Philippines
"
              To explore how AusAID can assist microfinance providers to transition from using donor subsidies to private funds - USA, Philippines, Cambodia, Bangladesh, Indonesia
",2009,"GREENACRE, Jonathan",Cambodia,yes,Cambodia
"
              To explore how AusAID can assist microfinance providers to transition from using donor subsidies to private funds - USA, Philippines, Cambodia, Bangladesh, Indonesia
",2009,"GREENACRE, Jonathan",Bangladesh,yes,Bangladesh
"
              To explore how AusAID can assist microfinance providers to transition from using donor subsidies to private funds - USA, Philippines, Cambodia, Bangladesh, Indonesia
",2009,"GREENACRE, Jonathan",Indonesia,yes,Indonesia
"
              To explore culturally appropriate response models to provide psychological support for people affected by trauma - USA, Canada, UK
",2009,"GUSCOTT, Wendy",USA,yes,USA
"
              To explore culturally appropriate response models to provide psychological support for people affected by trauma - USA, Canada, UK
",2009,"GUSCOTT, Wendy",Canada,yes,Canada
"
              To explore culturally appropriate response models to provide psychological support for people affected by trauma - USA, Canada, UK
",2009,"GUSCOTT, Wendy",UK,yes,UK
"
              To research historical lute collections - UK, France, Belgium, Germany, Netherlands, Austria, Italy
",2009,"GUSTER, Timothy",UK,yes,UK
"
              To research historical lute collections - UK, France, Belgium, Germany, Netherlands, Austria, Italy
",2009,"GUSTER, Timothy",France,yes,France
"
              To research historical lute collections - UK, France, Belgium, Germany, Netherlands, Austria, Italy
",2009,"GUSTER, Timothy",Belgium,yes,Belgium
"
              To research historical lute collections - UK, France, Belgium, Germany, Netherlands, Austria, Italy
",2009,"GUSTER, Timothy",Germany,yes,Germany
"
              To research historical lute collections - UK, France, Belgium, Germany, Netherlands, Austria, Italy
",2009,"GUSTER, Timothy",Netherlands,yes,Netherlands
"
              To research historical lute collections - UK, France, Belgium, Germany, Netherlands, Austria, Italy
",2009,"GUSTER, Timothy",Austria,yes,Austria
"
              To research historical lute collections - UK, France, Belgium, Germany, Netherlands, Austria, Italy
",2009,"GUSTER, Timothy",Italy,yes,Italy
"
              To visit schools, agencies, government departments and vocational projects that are enhancing the transitions of young people into employment and training - Singapore, U.K.
",2009,"GWILLIAM OAM, Heather",Singapore,yes,Singapore
"
              To visit schools, agencies, government departments and vocational projects that are enhancing the transitions of young people into employment and training - Singapore, U.K.
",2009,"GWILLIAM OAM, Heather",UK,yes,UK
