"","project","year","fellow"
"200","
              The Australian Biological Resources Study Churchill Fellowship to undertake a re-evaluation of F.L Castelnau's type-specimens of Australian fishes in the Museum National D'Histoire Naturelle - France
            ","2017","Russell, Barry"
"201","
              To investigate methods for preventing patient harm through national digital health safety governance - UK, Canada, USA
            ","2017","Ryan, Angela"
"202","
              The Department for Child Protection and Family Support Churchill Fellowship to investigate innovative initiatives to improve literacy and well-being of children in state care - UK, Italy, Austria, USA
            ","2017","Samec, Olivia"
"203","
              The Peter Mitchell Churchill Fellowship to bring international Reliability Engineering best practice to Australian Defence and industry - Singapore, Japan, Germany, UK
            ","2017","Scott, Rachel"
"204","
              To investigate international programs supporting parenting following family and domestic violence - USA, UK
            ","2017","Sng, Rebecca"
"205","
              To better understand composers living and working from islands or isolated cities - Iceland, USA, New Zealand


 
            ","2017","Stevenson, Dean"
"206","
              To study the structure and function of choreographic centres in various international locations - India, France, Netherlands, UK, USA, Canada
            ","2017","Stewart, Garry"
"207","
              To examine successful programs for the employment of people with disability in the open labour market - UK, Germany, USA
            ","2017","Sumaktas, Ebru"
"208","
              To successfully implement an End of Life care strategy for South Australia - UK, Ireland, Canada
            ","2017","Swetenham, Catherine"
"209","
              To investigate elite sports environments that enable culturally diverse women to thrive - New Zealand, USA, UK
            ","2017","Symons, Julia"
"210","
              To investigate advanced conservation techniques and the maintenance of historical keyboard instruments - UK, France, Czech Republic, Austria, Italy, Netherlands, Switzerland, Germany, Belgium
            ","2017","Tunzi, Paul"
"211","
              To gain knowledge to further support the mental health of refugees settling in Australia - USA, Canada, Sweden, Germany, Denmark, UK
            ","2017","Turner, Greg"
"212","
              To research air traffic procedures leading to airspace redesign at major Australian airports - Singapore, United Arab Emirates, Netherlands, UK, USA, Canada
            ","2017","Turner, Scott "
"213","
              To learn the process of leading television showrunners - USA, UK
            ","2017","Verso, Nicholas"
"214","
              To develop artwork/fabric design from European botanical collections of French expeditions to Tasmania - UK, France, Italy
            ","2017","Wace, Deborah"
"215","
              To learn the latest genomic analytical tools for genetic diagnosis of rare neuromuscular disorders - USA

            ","2017","Waddell, Leigh"
"216","
              To explore peer support as a trauma-informed response to families of online child sex offenders - USA, New Zealand
            ","2017","Walker, Natalie"
"217","
              To explore aphasia therapies which optimise communication from hospital to home post stroke - USA, Finland, Denmark, Iceland, Portugal
            ","2017","West, Deborah "
"218","
              To adapt foreign GP clinical data collections to improve patient care, workforce wellbeing and cost - USA, Canada, UK  
            ","2017","Whitlock, Barbara"
"219","
              The Bob and June Prickett Churchill Fellowship to learn and apply lessons on how to recruit, retain and care for health professionals in rural health - Canada
            ","2017","Wieland, Lara "
"220","
              To research the best play, writer and audience development models in English speaking theatres - USA, Canada, UK
            ","2017","Williams, Anthea"
"221","
              To achieve best practice in the Western Australian Mental Health Court - USA
            ","2017","Zempilas, Felicity"
"222","
              To explore strategies that improve doctors' wellbeing, optimising their mental health and productivity - USA, Canada, Belgium
            ","2016","Weston, Caitlin"
"223","
              To research the story of how pioneering South Australians won the 1919 Britain-Australia Air Race - USA, UK, France, Italy, Greece, India, Myanmar, Thailand
            ","2016","Anderson, Lainie"
"224","
              To investigate methods that use personal storytelling to empower participants and strengthen communities - USA
            ","2016","Bell, Johanna"
"225","
              To explore how innovation and collaboration can improve outcomes for people with eating disorders - Canada, USA, UK
            ","2016","Beveridge, Jennifer"
"226","
              To enhance police response to LGBTI domestic violence - UK, Netherlands, Canada, USA
            ","2016","Bjarnesen, Ben"
"227","
              To investigate how art stimulates engagement with medical, botanical and historical collections - UK, France, Italy
            ","2016","Black, Lauren"
"228","
              To identify two un-repatriated human remains and index overseas archived Indigenous cultural material - UK, USA
            ","2016","Booker, Lauren"
"229","
              To evaluate international models for the facilitation of trades based learning in a secondary school environment - Canada, USA
            ","2016","Boys, Paul"
"230","
              The Paul Tys Churchill Fellowship to investigate the ""Cure Violence"" approach to reducing violence within at risk communities - USA, Brazil
            ","2016","Bryers, Zack"
